,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,NC1.0,CNT,Fire Alarm
51215,26.99,44.52,29.0,426.0,12854.0,20759,937.582,2.29,2.463,73,False
51216,26.96,44.61,29.0,426.0,12864.0,20768,937.59,2.27,2.44,74,False
51217,26.94,44.67,28.0,426.0,12853.0,20761,937.596,2.27,2.434,75,False
51218,26.92,44.73,31.0,435.0,12861.0,20762,937.608,2.23,2.394,76,False
51219,26.9,44.8,30.0,422.0,12857.0,20763,937.605,2.21,2.372,77,False
51220,26.88,44.82,21.0,436.0,12857.0,20764,937.622,2.19,2.346,78,False
51221,26.87,44.9,32.0,437.0,12850.0,20761,937.612,2.17,2.332,79,False
51222,26.85,44.91,25.0,437.0,12858.0,20758,937.61,2.17,2.331,80,False
51223,26.84,44.99,17.0,415.0,12863.0,20774,937.63,2.18,2.34,81,False
51224,26.81,45.0,27.0,426.0,12853.0,20763,937.634,2.18,2.339,82,False
51225,28.25,45.0,7.0,414.0,12870.0,20795,937.624,2.17,2.332,83,False
51226,28.7,43.94,11.0,406.0,12869.0,20782,937.618,2.15,2.31,84,False
51227,28.91,42.89,31.0,415.0,12871.0,20756,937.625,2.15,2.31,85,False
51228,29.04,42.06,18.0,411.0,12869.0,20760,937.622,2.18,2.335,86,False
51229,29.16,41.35,31.0,413.0,12864.0,20766,937.625,2.19,2.35,87,False
51230,29.22,40.91,21.0,404.0,12863.0,20776,937.617,2.18,2.337,88,False
51231,29.31,40.55,37.0,427.0,12858.0,20762,937.613,2.15,2.312,89,False
51232,29.37,40.29,34.0,422.0,12858.0,20753,937.602,2.15,2.3080000000000003,90,False
51233,29.43,40.07,33.0,422.0,12863.0,20754,937.608,2.16,2.314,91,False
51234,29.49,39.93,36.0,415.0,12864.0,20747,937.616,2.17,2.3280000000000003,92,False
51235,29.51,39.82,44.0,409.0,12854.0,20735,937.621,2.19,2.349,93,False
51236,29.55,39.63,48.0,424.0,12854.0,20741,937.62,2.19,2.35,94,False
51237,29.59,39.5,49.0,422.0,12860.0,20740,937.618,2.23,2.388,95,False
51238,29.63,39.45,46.0,424.0,12858.0,20746,937.616,2.24,2.406,96,False
51239,29.67,39.37,49.0,438.0,12853.0,20744,937.621,2.25,2.417,97,False
51240,29.69,39.26,45.0,423.0,12862.0,20746,937.616,2.26,2.428,98,False
51241,29.72,39.2,49.0,429.0,12850.0,20747,937.613,2.32,2.488,99,False
51242,29.76,39.13,41.0,424.0,12852.0,20743,937.609,2.34,2.516,100,False
51243,29.79,39.09,37.0,421.0,12860.0,20764,937.603,2.35,2.521,101,False
51244,29.8,38.99,35.0,431.0,12855.0,20755,937.608,2.37,2.546,102,False
51256,28.17,39.62,35.0,444.0,12848.0,20755,937.592,2.0,2.145,114,False
51257,27.91,40.57,31.0,432.0,12851.0,20754,937.588,1.97,2.117,115,False
51258,27.78,41.29,43.0,445.0,12843.0,20744,937.586,1.91,2.05,116,False
51259,27.67,42.01,36.0,431.0,12850.0,20754,937.576,1.91,2.049,117,False
51260,27.57,42.52,27.0,425.0,12844.0,20750,937.579,1.97,2.119,118,False
51261,27.5,42.9,39.0,429.0,12852.0,20749,937.586,2.01,2.154,119,False
51262,27.43,43.19,31.0,424.0,12850.0,20741,937.587,2.16,2.319,120,False
51263,27.34,43.43,42.0,427.0,12849.0,20748,937.583,2.2,2.365,121,False
51264,27.29,43.68,63.0,440.0,12849.0,20727,937.578,2.27,2.441,122,False
51265,27.26,43.87,59.0,430.0,12850.0,20737,937.571,2.3,2.463,123,False
51266,27.23,44.05,66.0,443.0,12851.0,20723,937.578,2.3,2.4730000000000003,124,False
51267,27.16,44.17,73.0,437.0,12849.0,20718,937.578,2.28,2.446,125,False
51268,27.15,44.26,76.0,436.0,12847.0,20717,937.574,2.27,2.4330000000000003,126,False
51269,27.09,44.36,59.0,433.0,12844.0,20716,937.575,2.27,2.439,127,False
51270,27.09,44.49,52.0,419.0,12852.0,20730,937.576,2.26,2.425,128,False
51271,27.02,44.57,64.0,435.0,12847.0,20729,937.577,2.21,2.376,129,False
51272,27.01,44.64,64.0,433.0,12844.0,20724,937.586,2.17,2.334,130,False
51273,26.98,44.72,50.0,425.0,12847.0,20730,937.58,2.19,2.353,131,False
51274,26.98,44.79,52.0,417.0,12854.0,20736,937.579,2.22,2.38,132,False
51275,26.94,44.83,48.0,423.0,12853.0,20740,937.588,2.24,2.406,133,False
51276,26.9,44.89,44.0,410.0,12854.0,20740,937.581,2.24,2.4,134,False
51277,26.9,44.97,40.0,419.0,12858.0,20756,937.587,2.23,2.397,135,False
51278,26.87,45.05,31.0,412.0,12861.0,20759,937.575,2.26,2.424,136,False
51279,26.85,45.05,27.0,424.0,12858.0,20763,937.567,2.27,2.438,137,False
51280,26.83,45.13,28.0,419.0,12858.0,20754,937.567,2.27,2.431,138,False
51281,26.8,45.15,59.0,442.0,12854.0,20735,937.571,2.24,2.406,139,False
51282,26.8,45.21,44.0,421.0,12848.0,20751,937.573,2.22,2.381,140,False
51283,26.77,45.24,50.0,431.0,12845.0,20738,937.562,2.19,2.351,141,False
51284,26.77,45.27,53.0,429.0,12850.0,20730,937.551,2.18,2.345,142,False
51285,28.19,45.24,24.0,400.0,12864.0,20759,937.549,2.18,2.343,143,False
51286,28.63,44.2,21.0,400.0,12867.0,20764,937.57,2.16,2.316,144,False
51287,28.84,43.15,20.0,400.0,12861.0,20764,937.569,2.16,2.318,145,False
51288,29.01,42.33,19.0,400.0,12865.0,20765,937.571,2.17,2.324,146,False
51289,29.08,41.64,23.0,407.0,12864.0,20759,937.578,2.15,2.311,147,False
51290,29.16,41.17,25.0,400.0,12861.0,20766,937.584,2.14,2.296,148,False
51291,29.27,40.78,26.0,419.0,12861.0,20769,937.591,2.15,2.306,149,False
51292,29.35,40.48,27.0,410.0,12855.0,20758,937.59,2.19,2.353,150,False
51293,29.38,40.25,26.0,411.0,12854.0,20759,937.586,2.21,2.371,151,False
51294,29.46,40.1,39.0,412.0,12853.0,20751,937.575,2.28,2.445,152,False
51295,29.49,39.93,30.0,413.0,12849.0,20753,937.573,2.31,2.484,153,False
51296,29.53,39.83,39.0,426.0,12848.0,20744,937.578,2.39,2.567,154,False
51297,29.58,39.65,41.0,418.0,12849.0,20745,937.577,2.42,2.595,155,False
51298,29.61,39.57,48.0,424.0,12850.0,20742,937.576,2.44,2.615,156,False
51299,29.62,39.52,60.0,424.0,12853.0,20737,937.576,2.43,2.603,157,False
51300,29.66,39.41,57.0,426.0,12846.0,20734,937.575,2.42,2.602,158,False
51301,29.7,39.35,57.0,424.0,12845.0,20729,937.571,2.42,2.594,159,False
51302,29.73,39.32,59.0,424.0,12839.0,20731,937.572,2.37,2.548,160,False
51303,29.76,39.23,52.0,418.0,12845.0,20734,937.574,2.34,2.513,161,False
51304,29.79,39.21,53.0,424.0,12847.0,20730,937.569,2.3,2.4730000000000003,162,False
51305,29.77,39.17,51.0,416.0,12848.0,20733,937.565,2.28,2.449,163,False
51306,29.8,39.12,56.0,429.0,12850.0,20734,937.559,2.25,2.411,164,False
51307,29.83,39.1,52.0,426.0,12850.0,20738,937.558,2.26,2.422,165,False
51308,29.85,39.05,57.0,427.0,12850.0,20728,937.565,2.24,2.399,166,False
51309,29.86,39.02,62.0,433.0,12852.0,20734,937.557,2.21,2.371,167,False
51316,28.08,39.87,61.0,448.0,12831.0,20719,937.573,2.02,2.173,174,False
51317,27.84,40.87,71.0,451.0,12829.0,20712,937.571,2.0,2.146,175,False
51318,27.71,41.69,73.0,454.0,12827.0,20708,937.579,1.99,2.136,176,False
51319,27.6,42.3,73.0,445.0,12833.0,20715,937.576,1.96,2.108,177,False
51320,27.52,42.79,69.0,438.0,12839.0,20726,937.579,1.95,2.097,178,False
51321,27.43,43.2,55.0,420.0,12837.0,20729,937.564,1.93,2.067,179,False
51322,27.38,43.51,45.0,411.0,12841.0,20740,937.559,1.91,2.05,180,False
51323,27.29,43.82,50.0,420.0,12844.0,20727,937.561,1.88,2.017,181,False
51324,27.27,44.0,42.0,417.0,12847.0,20747,937.556,1.87,2.004,182,False
51325,27.19,44.16,28.0,407.0,12848.0,20754,937.554,1.86,1.995,183,False
51326,27.16,44.33,32.0,425.0,12850.0,20755,937.559,1.85,1.989,184,False
51327,27.12,44.47,30.0,426.0,12843.0,20752,937.565,1.86,1.992,185,False
51328,27.09,44.56,27.0,420.0,12848.0,20758,937.566,1.86,1.991,186,False
51329,27.04,44.68,39.0,433.0,12842.0,20744,937.575,1.88,2.015,187,False
51330,27.02,44.79,27.0,424.0,12844.0,20751,937.569,1.9,2.037,188,False
51331,26.98,44.88,30.0,415.0,12847.0,20754,937.568,1.93,2.066,189,False
51332,26.92,44.98,32.0,431.0,12841.0,20750,937.575,1.97,2.1180000000000003,190,False
51333,26.91,45.05,32.0,421.0,12844.0,20754,937.572,1.98,2.125,191,False
51334,26.91,45.1,27.0,420.0,12847.0,20757,937.566,2.0,2.15,192,False
51335,26.9,45.15,22.0,415.0,12846.0,20760,937.582,2.04,2.19,193,False
51336,26.87,45.24,22.0,417.0,12844.0,20764,937.58,2.1,2.256,194,False
51337,26.83,45.31,27.0,426.0,12839.0,20757,937.584,2.12,2.273,195,False
51338,26.83,45.32,24.0,426.0,12841.0,20754,937.59,2.14,2.293,196,False
51339,26.81,45.43,40.0,434.0,12835.0,20748,937.589,2.14,2.298,197,False
51340,26.78,45.48,45.0,440.0,12834.0,20743,937.583,2.18,2.337,198,False
51341,26.75,45.55,52.0,428.0,12837.0,20729,937.582,2.18,2.344,199,False
51342,26.74,45.57,51.0,436.0,12841.0,20735,937.576,2.2,2.361,200,False
51343,26.72,45.66,63.0,443.0,12837.0,20723,937.575,2.18,2.34,201,False
51344,26.72,45.66,65.0,441.0,12830.0,20720,937.583,2.15,2.3040000000000003,202,False
51345,28.14,45.64,48.0,406.0,12853.0,20734,937.58,2.14,2.296,203,False
51346,28.57,44.61,51.0,408.0,12851.0,20722,937.58,2.18,1.942,204,False
51347,28.79,43.6,68.0,411.0,12846.0,20719,937.578,2.21,2.367,205,False
51348,28.94,42.71,81.0,429.0,12843.0,20707,937.582,2.21,2.371,206,False
51349,29.01,42.03,79.0,430.0,12836.0,20705,937.578,2.2,2.361,207,False
51350,29.14,41.52,84.0,429.0,12835.0,20697,937.572,2.21,2.3680000000000003,208,False
51351,29.18,41.16,78.0,426.0,12841.0,20701,937.561,2.19,2.351,209,False
51352,29.25,40.91,57.0,420.0,12843.0,20717,937.555,2.16,2.314,210,False
51353,29.31,40.64,73.0,426.0,12840.0,20709,937.55,2.14,2.301,211,False
51354,29.35,40.47,71.0,431.0,12842.0,20711,937.552,2.16,2.315,212,False
51355,29.42,40.28,65.0,416.0,12842.0,20721,937.555,2.17,2.324,213,False
51356,29.46,40.18,61.0,426.0,12842.0,20730,937.547,2.15,1.942,214,False
51357,29.49,40.06,56.0,417.0,12843.0,20727,937.547,2.2,2.361,215,False
51358,29.55,39.94,45.0,414.0,12840.0,20730,937.544,2.21,2.3680000000000003,216,False
51359,29.58,39.82,58.0,414.0,12839.0,20728,937.542,2.17,2.333,217,False
51360,29.61,39.72,52.0,412.0,12841.0,20722,937.547,2.16,2.322,218,False
51361,29.63,39.66,61.0,417.0,12840.0,20718,937.54,2.17,2.33,219,False
51362,29.65,39.61,56.0,405.0,12847.0,20729,937.541,2.16,2.322,220,False
51363,29.69,39.53,55.0,414.0,12842.0,20727,937.556,2.15,2.311,221,False
51364,29.72,39.46,50.0,410.0,12841.0,20733,937.557,2.14,2.292,222,False
51365,29.74,39.44,58.0,422.0,12843.0,20727,937.561,2.1,2.253,223,False
51366,29.74,39.33,55.0,415.0,12840.0,20720,937.562,2.08,2.233,224,False
51367,29.74,39.3,43.0,412.0,12842.0,20734,937.559,2.04,2.192,225,False
51368,29.77,39.27,41.0,405.0,12840.0,20733,937.562,2.02,2.173,226,False
51369,29.79,39.26,33.0,404.0,12847.0,20748,937.567,1.98,2.127,227,False
51370,29.82,39.22,44.0,416.0,12836.0,20736,937.577,1.94,2.087,228,False
51371,29.8,39.23,49.0,417.0,12833.0,20732,937.572,1.91,2.046,229,False
51372,29.82,39.17,53.0,425.0,12839.0,20731,937.575,1.89,2.023,230,False
51373,29.85,39.16,48.0,413.0,12839.0,20738,937.57,1.88,2.023,231,False
51374,29.86,39.18,66.0,424.0,12837.0,20723,937.565,1.89,2.032,232,False
51375,28.46,39.28,86.0,461.0,12816.0,20695,937.571,1.91,2.05,233,False
51376,27.98,40.17,87.0,449.0,12816.0,20693,937.576,1.93,2.074,234,False
51377,27.76,41.23,88.0,451.0,12823.0,20699,937.571,1.95,2.095,235,False
51378,27.61,42.0,82.0,437.0,12824.0,20701,937.568,2.02,2.1630000000000003,236,False
51379,27.52,42.69,84.0,436.0,12828.0,20712,937.573,2.05,2.198,237,False
51380,27.43,43.19,70.0,430.0,12834.0,20718,937.584,2.1,2.256,238,False
51381,27.33,43.6,71.0,431.0,12833.0,20713,937.585,2.12,2.279,239,False
51382,27.27,43.9,66.0,423.0,12828.0,20713,937.584,2.16,2.322,240,False
51383,27.22,44.15,53.0,417.0,12836.0,20719,937.571,2.16,2.319,241,False
51384,27.18,44.31,53.0,422.0,12829.0,20714,937.567,2.16,2.316,242,False
51385,27.12,44.5,55.0,412.0,12832.0,20717,937.571,2.15,2.3080000000000003,243,False
51386,27.05,44.61,58.0,420.0,12834.0,20724,937.559,2.13,2.2840000000000003,244,False
51387,27.05,44.78,47.0,429.0,12836.0,20727,937.56,2.11,2.261,245,False
51388,26.96,44.9,47.0,415.0,12834.0,20729,937.575,2.02,2.164,246,False
51389,26.95,45.01,52.0,411.0,12837.0,20729,937.568,1.98,2.121,247,False
51390,26.94,45.11,49.0,415.0,12837.0,20723,937.567,1.91,2.045,248,False
51391,26.91,45.19,54.0,415.0,12836.0,20724,937.572,1.92,2.0580000000000003,249,False
51392,26.84,45.29,53.0,413.0,12841.0,20724,937.578,1.93,2.07,250,False
51393,26.83,45.3,68.0,416.0,12837.0,20727,937.578,1.94,2.08,251,False
51394,26.81,45.42,71.0,407.0,12835.0,20723,937.569,1.97,2.11,252,False
51395,26.8,45.49,54.0,409.0,12839.0,20724,937.57,1.98,2.121,253,False
51396,26.77,45.54,56.0,409.0,12839.0,20728,937.563,2.02,2.173,254,False
51397,26.74,45.62,49.0,410.0,12839.0,20733,937.566,2.05,2.195,255,False
51398,26.72,45.64,56.0,407.0,12835.0,20730,937.578,2.07,2.2230000000000003,256,False
51399,26.72,45.72,42.0,400.0,12837.0,20740,937.58,2.06,2.215,257,False
51400,26.68,45.75,43.0,404.0,12842.0,20749,937.571,2.04,2.189,258,False
51401,26.67,45.75,32.0,400.0,12839.0,20749,937.567,2.01,2.161,259,False
51402,26.64,45.82,32.0,400.0,12841.0,20753,937.574,1.99,2.135,260,False
51403,26.64,45.86,28.0,411.0,12837.0,20742,937.586,1.95,2.09,261,False
51404,26.63,45.91,34.0,401.0,12844.0,20748,937.591,1.92,2.061,262,False
51405,28.08,45.83,7.0,400.0,12853.0,20769,937.587,1.85,1.985,263,False
51406,28.5,44.79,19.0,400.0,12850.0,20758,937.599,1.82,1.956,264,False
51407,28.72,43.79,11.0,400.0,12850.0,20766,937.58,1.78,1.909,265,False
51408,28.84,42.91,19.0,400.0,12847.0,20762,937.6,1.76,1.884,266,False
51409,28.93,42.2,21.0,403.0,12847.0,20771,937.581,1.71,1.839,267,False
51410,29.03,41.74,31.0,401.0,12840.0,20755,937.583,1.73,1.859,268,False
51411,29.11,41.37,32.0,400.0,12845.0,20749,937.589,1.79,1.916,269,False
51412,29.15,41.08,46.0,410.0,12840.0,20734,937.577,1.79,1.92,270,False
51413,29.22,40.8,46.0,413.0,12841.0,20741,937.578,1.81,1.946,271,False
51414,29.28,40.62,56.0,402.0,12840.0,20736,937.577,1.82,1.95,272,False
51415,29.32,40.52,43.0,403.0,12840.0,20737,937.574,1.83,1.969,273,False
51416,29.37,40.36,38.0,402.0,12836.0,20748,937.579,1.84,1.973,274,False
51417,29.42,40.27,29.0,400.0,12839.0,20746,937.557,1.85,1.984,275,False
51418,29.46,40.17,36.0,401.0,12837.0,20740,937.551,1.84,1.974,276,False
51419,29.51,40.09,29.0,400.0,12844.0,20754,937.562,1.85,1.981,277,False
51420,29.52,39.97,26.0,400.0,12848.0,20752,937.567,1.86,2.0,278,False
51421,29.58,39.92,28.0,400.0,12844.0,20745,937.555,1.87,2.012,279,False
51422,29.59,39.81,13.0,400.0,12840.0,20756,937.55,1.94,2.082,280,False
51423,29.62,39.78,21.0,401.0,12841.0,20756,937.541,1.96,2.104,281,False
51424,29.62,39.69,10.0,401.0,12841.0,20763,937.552,2.0,2.15,282,False
51425,29.65,39.62,12.0,400.0,12846.0,20771,937.56,2.0,2.151,283,False
51426,29.69,39.57,26.0,400.0,12840.0,20749,937.574,1.98,2.129,284,False
51427,29.7,39.53,23.0,400.0,12842.0,20752,937.577,1.96,2.101,285,False
51428,29.7,39.54,27.0,400.0,12844.0,20752,937.58,1.91,2.05,286,False
51429,29.73,39.46,30.0,401.0,12838.0,20741,937.586,1.91,2.055,287,False
51430,29.74,39.43,33.0,400.0,12837.0,20750,937.589,1.9,2.041,288,False
51431,29.76,39.4,30.0,400.0,12843.0,20751,937.588,1.89,2.026,289,False
51432,29.77,39.32,31.0,400.0,12840.0,20741,937.578,1.95,2.089,290,False
51433,29.82,39.32,43.0,400.0,12841.0,20742,937.581,1.99,2.131,291,False
51434,29.8,39.35,31.0,400.0,12844.0,20755,937.593,2.03,2.1830000000000003,292,False
51435,28.42,39.37,54.0,437.0,12819.0,20724,937.6,2.05,2.197,293,False
51436,27.91,40.4,41.0,429.0,12824.0,20731,937.607,2.09,2.246,294,False
51437,27.71,41.37,59.0,432.0,12816.0,20727,937.599,2.13,2.286,295,False
51438,27.59,42.23,49.0,431.0,12825.0,20725,937.608,2.18,2.344,296,False
51439,27.46,42.86,38.0,415.0,12829.0,20736,937.606,2.21,2.367,297,False
51440,27.36,43.32,36.0,414.0,12826.0,20731,937.592,2.21,2.372,298,False
51441,27.32,43.75,43.0,419.0,12828.0,20728,937.601,2.23,2.391,299,False
51442,27.22,44.06,32.0,407.0,12839.0,20748,937.592,2.22,2.381,300,False
51443,27.18,44.29,43.0,402.0,12832.0,20727,937.593,2.17,2.331,301,False
51444,27.12,44.49,33.0,400.0,12836.0,20748,937.595,2.16,2.318,302,False
51445,27.08,44.65,34.0,401.0,12839.0,20739,937.597,2.11,2.264,303,False
51446,27.01,44.79,981.0,400.0,12833.0,20743,937.584,2.09,2.2430000000000003,304,False
51447,27.01,44.92,29.0,404.0,12835.0,20751,937.577,2.11,2.261,305,False
51448,26.95,45.06,32.0,400.0,12836.0,20747,937.565,2.11,2.26,306,False
51449,26.91,45.19,41.0,414.0,12831.0,20733,937.559,2.15,2.307,307,False
51450,26.85,45.27,39.0,405.0,12836.0,20746,937.552,2.2,2.365,308,False
51451,26.85,45.37,28.0,402.0,12833.0,20748,937.54,2.26,2.425,309,False
51452,26.8,45.41,34.0,406.0,12836.0,20748,937.544,2.27,2.436,310,False
51453,26.78,45.51,20.0,405.0,12838.0,20748,937.546,2.25,2.412,311,False
51454,26.77,45.56,18.0,400.0,12835.0,20754,937.555,2.21,2.376,312,False
51455,26.74,45.65,39.0,404.0,12838.0,20735,937.561,2.19,2.353,313,False
51456,26.69,45.69,49.0,406.0,12832.0,20739,937.558,2.17,2.329,314,False
51457,26.68,45.75,64.0,420.0,12831.0,20720,937.561,2.12,2.28,315,False
51458,26.68,45.82,50.0,405.0,12835.0,20725,937.563,2.1,2.257,316,False
51459,26.65,45.91,46.0,410.0,12837.0,20727,937.557,2.08,2.228,317,False
51460,26.63,45.97,47.0,400.0,12833.0,20728,937.557,2.08,2.235,318,False
51461,26.63,45.99,49.0,404.0,12833.0,20722,937.548,2.07,2.225,319,False
51462,26.61,46.02,58.0,412.0,12828.0,20722,937.55,2.06,2.213,320,False
51463,26.6,46.06,56.0,410.0,12829.0,20728,937.553,2.06,2.207,321,False
51464,26.58,46.08,43.0,400.0,12839.0,20739,937.557,2.04,2.188,322,False
51465,28.02,46.04,12.0,400.0,12854.0,20760,937.562,2.03,2.182,323,False
51466,28.45,45.05,22.0,400.0,12850.0,20754,937.569,2.02,2.166,324,False
51467,28.63,44.0,20.0,400.0,12848.0,20757,937.563,2.02,2.1630000000000003,325,False
51468,28.77,43.13,39.0,400.0,12841.0,20739,937.557,1.99,2.141,326,False
51469,28.88,42.46,39.0,400.0,12837.0,20728,937.553,1.98,2.126,327,False
51470,29.01,41.88,71.0,409.0,12835.0,20712,937.555,1.92,2.059,328,False
51471,29.07,41.55,73.0,410.0,12833.0,20699,937.561,1.9,2.044,329,False
51472,29.12,41.24,85.0,414.0,12829.0,20686,937.563,1.9,2.0340000000000003,330,False
51473,29.2,41.01,79.0,402.0,12833.0,20696,937.56,1.9,2.035,331,False
51474,29.24,40.82,75.0,404.0,12842.0,20707,937.562,1.91,2.047,332,False
51475,29.3,40.71,66.0,406.0,12835.0,20710,937.563,1.95,2.088,333,False
51476,29.31,40.54,65.0,410.0,12835.0,20719,937.571,1.97,2.119,334,False
51477,29.39,40.4,53.0,400.0,12842.0,20733,937.571,1.98,2.13,335,False
51478,29.37,40.33,55.0,401.0,12837.0,20723,937.568,2.01,2.162,336,False
51479,29.43,40.25,58.0,400.0,12835.0,20727,937.577,2.02,2.173,337,False
51480,29.45,40.12,43.0,400.0,12833.0,20730,937.576,2.05,2.202,338,False
51481,29.49,40.07,55.0,400.0,12834.0,20722,937.567,2.06,2.211,339,False
51482,29.53,40.0,39.0,400.0,12837.0,20737,937.569,2.07,2.2230000000000003,340,False
51483,29.55,39.95,43.0,400.0,12839.0,20736,937.577,2.09,2.241,341,False
51484,29.58,39.85,33.0,400.0,12836.0,20742,937.579,2.07,2.219,342,False
51485,29.59,39.81,46.0,400.0,12838.0,20734,937.584,2.07,2.227,343,False
51486,29.59,39.77,32.0,400.0,12840.0,20744,937.579,2.11,2.263,344,False
51487,29.62,39.72,43.0,400.0,12834.0,20736,937.585,2.13,2.29,345,False
51488,29.65,39.63,32.0,400.0,12839.0,20747,937.591,2.17,2.329,346,False
51489,29.69,39.62,31.0,400.0,12840.0,20755,937.586,2.23,2.397,347,False
51490,29.7,39.57,40.0,400.0,12842.0,20755,937.583,2.25,2.417,348,False
51491,29.69,39.54,33.0,400.0,12835.0,20738,937.584,2.26,2.4290000000000003,349,False
51492,29.67,39.52,41.0,404.0,12834.0,20731,937.58,2.25,2.417,350,False
51493,29.73,39.51,44.0,400.0,12837.0,20732,937.568,2.24,2.4,351,False
